cab_id;cab_prv_id;ctr_id;cab_sdate;cab_hog_n;cab_sts_ttl;cab_care;cab_cmt;cab_src;cab_nxt_id;cab_valid_sdate
2013;2012;2;1975-10-28;	Kreisky	 ;;f;	.	 ;	.	 ;2014;f
2014;2013;2;1979-06-05;	Kreisky	 ;;f;	.	 ;	.	 ;2015;f
2015;2014;2;1983-05-24;	Sinowatz	 ;;f;	.	 ;	.	 ;2016;f
2016;2015;2;1986-06-16;	Vranitzky	 ;;f;	.	 ;	.	 ;2017;f
2017;2016;2;1987-01-21;	Vranitzky	 ;;f;	.	 ;	.	 ;2018;f
2018;2017;2;1990-12-17;	Vranitzky	 ;;f;	.	 ;	.	 ;2019;f
2019;2018;2;1994-11-29;	Vranitzky	 ;;f;	.	 ;	.	 ;2020;f
2021;2020;2;1997-01-28;	Klima	 ;;f;	.	 ;	.	 ;2022;f
2022;2021;2;2000-02-04;	Schussel	 ;;f;	.	 ;	.	 ;2023;f
2023;2022;2;2003-02-28;	Schussel	 ;;f;	.	 ;	.	 ;2024;f
2024;2023;2;2005-04-17;	Schussel	 ;;f;	.	 ;	.	 ;2025;f
2025;2024;2;2007-01-11;	Gusenbauer	 ;;f;	.	 ;	.	 ;2026;f
2026;2025;2;2008-12-02;	Faymann	 ;;f;	.	 ;	.	 ;2027;f
2027;2026;2;2013-12-16;	Faymann	 ;;f;	.	 ;	.	 ;;f
3019;3018;3;1974-06-12;	Tindemans	 ;;f;	.	 ;	.	 ;3020;f
4001;;4;1945-08-29;	Mackenzie	 ;;f;	.	 ;	.	 ;4002;f
4002;4001;4;1948-11-16;	St-Laurent	 ;;f;	.	 ;	.	 ;4003;f
4003;4002;4;1949-08-25;	St-Laurent	 ;;f;	.	 ;	.	 ;4004;f
4004;4003;4;1953-09-17;	St-Laurent	 ;;f;	.	 ;	.	 ;4005;f
4005;4004;4;1957-06-21;	Diefenbaker	 ;;f;	.	 ;	.	 ;4006;f
4006;4005;4;1958-05-12;	Diefenbaker	 ;;f;	.	 ;	.	 ;4007;f
4007;4006;4;1962-08-09;	Diefenbaker	 ;;f;	.	 ;	.	 ;4008;f
4008;4007;4;1963-04-22;	Pearson	 ;;f;	.	 ;	.	 ;4009;f
4009;4008;4;1965-12-18;	Pearson	 ;;f;	.	 ;	.	 ;4010;f
4010;4009;4;1968-04-29;	Trudeau	 ;;f;	.	 ;	.	 ;4011;f
4011;4010;4;1968-07-06;	Trudeau	 ;;f;	.	 ;	.	 ;4012;f
4012;4011;4;1972-11-27;	Trudeau	 ;;f;	.	 ;	.	 ;4013;f
4013;4012;4;1974-08-08;	Trudeau	 ;;f;	.	 ;	.	 ;4014;f
4014;4013;4;1979-06-04;	Clark	 ;;f;	.	 ;	.	 ;4015;f
4015;4014;4;1980-03-03;	Trudeau	 ;;f;	.	 ;	.	 ;4016;f
4016;4015;4;1980-06-30;	Turner	 ;;f;	.	 ;	.	 ;4017;f
4017;4016;4;1984-09-17;	Mulrony	 ;;f;	.	 ;	.	 ;4018;f
4018;4017;4;1988-12-08;	Mulrony	 ;;f;	.	 ;	.	 ;4019;f
4021;4020;4;1997-06-11;	Chretien	 ;;f;	.	 ;	.	 ;4022;f
4022;4021;4;2001-01-09;	Chretien	 ;;f;	.	 ;	.	 ;4023;f
4024;4023;4;2004-07-20;	Martin	 ;;f;	.	 ;	.	 ;4025;f
4026;4025;4;2008-10-30;	Harper	 ;;f;	.	 ;	.	 ;4027;f
5001;;5;1943-12-15;		 ;;f;	.	 ;	.	 ;5002;f
5002;5001;5;1947-12-11;		 ;;f;	.	 ;	.	 ;5003;f
5003;5002;5;1951-12-23;		 ;;f;	.	 ;	.	 ;5004;f
5004;5003;5;1955-12-15;		 ;;f;	.	 ;	.	 ;5005;f
5005;5004;5;1959-12-17;		 ;;f;	.	 ;	.	 ;5006;f
5006;5005;5;1963-12-12;		 ;;f;	.	 ;	.	 ;5007;f
5007;5006;5;1967-12-14;		 ;;f;	.	 ;	.	 ;5008;f
5008;5007;5;1971-12-08;		 ;;f;	.	 ;	.	 ;5009;f
5009;5008;5;1975-12-10;		 ;;f;	.	 ;	.	 ;5010;f
5010;5009;5;1979-12-05;		 ;;f;	.	 ;	.	 ;5011;f
5011;5010;5;1983-12-07;		 ;;f;	.	 ;	.	 ;5012;f
5012;5011;5;1987-12-09;		 ;;f;	.	 ;	.	 ;5013;f
5013;5012;5;1991-12-04;		 ;;f;	.	 ;	.	 ;5014;f
5014;5013;5;1995-12-13;		 ;;f;	.	 ;	.	 ;5015;f
5015;5014;5;1999-12-15;		 ;;f;	.	 ;	.	 ;5016;f
5016;5015;5;2003-12-10;		 ;;f;	.	 ;	.	 ;5017;f
5017;5016;5;2007-12-12;		 ;;f;	.	 ;	.	 ;5018;f
5018;5017;5;2008-12-10;		 ;;f;	BDP formed from within parliament	 ;	.	 ;5019;f
5019;5018;5;2011-12-14;		 ;;f;	.	 ;	.	 ;;f
4027;4026;4;2011-05-18;	Harper	 ;;f;	.	 ;	.	 ;;f
1017;1016;1;1975-11-11;	Fraser	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=31&fromdetail=yes	 ;1018;t
2012;2011;2;1971-11-04;	Kreisky	 ;;f;	.	 ;	.	 ;2013;f
1003;1002;1;1951-05-11;	Menzies	 ;;f;	.	 ;	.	 ;1004;f
1004;1003;1;1954-07-09;	Menzies	 ;;f;	.	 ;	.	 ;1005;f
1005;1004;1;1956-01-11;	Menzies	 ;;f;	.	 ;	.	 ;1006;f
1006;1005;1;1958-12-10;	Menzies	 ;;f;	.	 ;	.	 ;1007;f
1007;1006;1;1961-12-22;	Menzies	 ;;f;	.	 ;	.	 ;1008;f
1008;1007;1;1963-12-18;	Menzies	 ;;f;	.	 ;	.	 ;1009;f
1010;1009;1;1966-12-14;	Holt	 ;;f;	.	 ;	.	 ;1011;f
1013;1012;1;1969-11-12;	Gorton	 ;;f;	.	 ;	.	 ;1014;f
1016;1015;1;1974-06-12;	Whitlam	 ;;f;	.	 ;	.	 ;1017;f
1018;1017;1;1975-12-22;	Fraser	 ;;f;	.	 ;	.	 ;1019;f
1019;1018;1;1977-12-20;	Fraser	 ;;f;	.	 ;	.	 ;1020;f
1020;1019;1;1980-11-03;	Fraser	 ;;f;	.	 ;	.	 ;1021;f
1022;1021;1;1984-12-13;	Hawke	 ;;f;	.	 ;	.	 ;1023;f
1023;1022;1;1987-07-24;	Hawke	 ;;f;	.	 ;	.	 ;1024;f
1024;1023;1;1990-04-04;	Hawke	 ;;f;	.	 ;	.	 ;1025;f
1026;1025;1;1993-03-24;	Keating	 ;;f;	.	 ;	.	 ;1027;f
1028;1027;1;1998-10-21;	Howard	 ;;f;	.	 ;	.	 ;1029;f
1029;1028;1;2001-11-26;	Howard	 ;;f;	.	 ;	.	 ;1030;f
1030;1029;1;2004-10-26;	Howard	 ;;f;	.	 ;	.	 ;1031;f
1033;1032;1;2010-09-14;	Gillard	 ;;f;	.	 ;	.	 ;1034;f
2009;2008;2;1964-04-02;	Klaus	 ;;f;	.	 ;	.	 ;2010;f
2010;2009;2;1966-04-19;	Klaus	 ;;f;	.	 ;	.	 ;2011;f
2011;2010;2;1970-04-21;	Kreisky	 ;;f;	.	 ;	.	 ;2012;f
1009;1008;1;1966-01-26;	Holt	 ;;f;	.	 ;		 ;1010;t
1002;1001;1;1949-12-19;	Menzies	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=25&fromdetail=yes	 ;1003;t
1011;1010;1;1967-12-19;	Mc Ewen	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=27&fromdetail=yes	 ;1012;t
1012;1011;1;1968-01-10;	Gorton	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=28&fromdetail=yes	 ;1013;t
1014;1013;1;1971-03-10;	McMahon	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=29&fromdetail=yes	 ;1015;t
1015;1014;1;1972-12-19;	Whitlam	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=30&fromdetail=yes	 ;1016;t
1021;1020;1;1983-03-11;	Hawke	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=32&fromdetail=yes	 ;1022;t
1025;1024;1;1992-01-02;	Keating	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=33&fromdetail=yes	 ;1026;t
1027;1026;1;1996-03-11;	Howard	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=34&fromdetail=yes	 ;1028;t
1031;1030;1;2007-12-03;	Rudd	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=295&fromdetail=yes	 ;1032;t
1032;1031;1;2010-06-24;	Gillard	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=320&fromdetail=yes	 ;1033;t
1034;1033;1;2013-06-27;	Rudd	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=378&fromdetail=yes	 ;1035;t
1035;1034;1;2013-09-18;	Abbott	 ;;f;	.	 ;	http://elections.uwa.edu.au/listmins.lasso?keyvalue=380&fromdetail=yes	 ;;t
2001;;2;1945-12-20;	Figl	 ;;f;	.	 ;		 ;2002;t
2002;2002;2;1949-11-08;	Figl	 ;;f;	.	 ;	http://www.parlament.gv.at/WWER/BREG/REG/index.shtml?FUNK=ALLE&requestId=6352248379&LISTE=&RESS=ALLE&STEP=&listeId=16&ascDesc=ASC&SUCH=&feldRnr=3&FBEZ=FW_016&REG=0&pageNumber=1&xdocumentUri=%2FWWER%2FBREG%2FREG%2Findex.shtml&jsMode=	 ;2004;t
2003;2003;2;1952-10-28;	Figl	 ;;f;	On 28.10.1952 President Korner re-instituted the unchanged Figl cabinet on Figls demand. No new cabinet in our data.	 ;	http://www.parlament.gv.at/WWER/BREG/REG/index.shtml?FUNK=ALLE&requestId=6352248379&LISTE=&RESS=ALLE&STEP=&listeId=16&ascDesc=ASC&SUCH=&feldRnr=3&FBEZ=FW_016&REG=0&pageNumber=1&xdocumentUri=%2FWWER%2FBREG%2FREG%2Findex.shtml&jsMode=	 ;2004;t
2004;2003;2;1953-04-02;	Raab	 ;;f;	.	 ;		 ;2005;t
2005;2004;2;1956-06-29;	Raab	 ;;f;	.	 ;		 ;2006;t
2006;2005;2;1959-07-16;	Raab	 ;;f;	On 03.11.1960 Chancellor Raab and his cabinet resigned and were reinstituted the same day by President Scharf. No new cabinet in our data.	 ;		 ;2007;t
2007;2006;2;1961-04-11;	Gorbach	 ;;f;	.	 ;		 ;2008;t
2008;2007;2;1963-03-27;	Gorbach	 ;;f;	.	 ;		 ;2009;t
2020;2019;2;1996-01-15;	Vranitzky	 ;;f;	.	 ;	http://www.parlament.gv.at/WWER/BREG/REG/index.shtml?FUNK=ALLE&requestId=6352248379&LISTE=&RESS=ALLE&STEP=&listeId=16&ascDesc=ASC&SUCH=&feldRnr=3&FBEZ=FW_016&REG=0&pageNumber=1&xdocumentUri=%2FWWER%2FBREG%2FREG%2Findex.shtml&jsMode=	 ;2020;t
3001;3001;3;1946-03-13;	Spaak	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Spaak_II	 ;3002;t
3002;3001;3;1946-03-31;	Acker	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Van_Acker_III	 ;3002;t
3003;3003;3;1946-08-03;	Acker	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Huysmans	 ;3004;t
3004;3003;3;1947-03-20;	Spaak	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Spaak_III	 ;3004;t
3005;3004;3;1949-08-11;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-G._Eyskens_I	 ;3005;t
3006;3005;3;1950-06-08;	Duvieusart	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Duvieusart	 ;3006;t
3007;3006;3;1950-08-16;	Pholien	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Pholien	 ;3007;t
3008;3007;3;1952-01-15;	Houtte	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Van_Houtte	 ;3009;t
3009;3009;3;1954-04-23;	Acker	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Van_Acker_IV	 ;3010;t
3010;3009;3;1958-06-26;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-G._Eyskens_II	 ;3011;t
3011;3010;3;1958-11-06;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-G._Eyskens_III	 ;3011;t
3012;3011;3;1961-04-25;	Lefevre	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Lefèvre	 ;3013;t
3013;3012;3;1965-07-28;	Harmel	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Harmel	 ;3014;t
3014;3013;3;1966-03-19;	Vanden Boeynants	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Vanden_Boeynants_I	 ;3014;t
3015;3014;3;1968-06-17;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-G._Eyskens_V	 ;3015;t
3016;3015;3;1972-01-20;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-G._Eyskens_VI	 ;3016;t
3017;3016;3;1973-01-26;	Leburton	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Leburton_I	 ;3018;t
3018;3017;3;1974-04-25;	Tindemans	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Tindemans_I	 ;3019;t
3020;3018;3;1974-06-03;	Tindemans	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Tindemans_II	 ;3019;t
3021;3019;3;1978-10-20;	Vanden Boeynants	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Vanden_Boeynants_II	 ;3022;t
3022;3021;3;1979-04-03;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_I	 ;3023;t
3023;3022;3;1980-01-23;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_II	 ;3024;t
3024;3023;3;1980-05-18;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_III	 ;3025;t
3025;3025;3;1981-04-06;	Eyskens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-M._Eyskens	 ;3026;t
3026;3025;3;1981-12-17;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_V	 ;3027;t
3027;3026;3;1985-11-28;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_VI	 ;3028;t
3028;3027;3;1988-06-09;	Martens	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Martens_VII	 ;3029;t
3029;3028;3;1992-03-07;	Dehaene	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Dehaene_I	 ;3029;t
3030;3029;3;1995-06-23;	Dehaene	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Dehaene_II	 ;3031;t
3031;3030;3;1999-07-12;	Verhofstadt	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Verhofstadt_I	 ;3031;t
3032;3031;3;2003-07-12;	Verhofstadt	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Verhofstadt_II	 ;3033;t
3033;3032;3;2007-12-21;	Verhofstadt	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Verhofstadt_III	 ;3034;t
3034;3033;3;2008-03-20;	Leterme	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Leterme_I_(federaal)	 ;3035;t
3035;3034;3;2008-12-30;	Rompuy	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Van_Rompuy	 ;3036;t
3036;3035;3;2009-11-25;	Leterme	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Leterme_II	 ;3037;t
3037;3036;3;2011-12-06;	Di Rupo	 ;;f;	.	 ;	http://nl.wikipedia.org/wiki/Regering-Di_Rupo_(federaal)	 ;;t
4019;4018;4;1993-06-25;	Campbell	 ;;f;	.	 ;		 ;4020;t
4020;4019;4;1993-11-04;	Chretien	 ;;f;	.	 ;	http://www.pco-bcp.gc.ca/mgm/dtail.asp?lang=eng&mstyid=26&mbtpid=1	 ;4021;t
4023;4022;4;2003-12-12;	Martin	 ;;f;	.	 ;	http://www.pco-bcp.gc.ca/mgm/dtail.asp?lang=eng&mstyid=31&mbtpid=1	 ;4024;t
4025;4024;4;2006-02-06;	Harper	 ;;f;	.	 ;		 ;4026;t
1036;1035;1;2016-01-01;Orlowski;;;;;;f
1001;;1;1946-11-01;	Chifley	 ;;f;	.	 ;	.	 ;1002;f
